LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,Unnamed: 15,PARAM_TYPE,NOTE
ALT,Alanine aminotransferase,ALT,ready,,50861,ALANINE AMINOTRANSFERASE (ALT),,labevents,219475,CHEMISTRY,,BLOOD,6/1/1742,,,,
ALT,Alanine aminotransferase,ALT,ready,,220644,ALT,None,chartevents,37625,Labs,,,,metavision,,Numeric,
Albumin,Albumin(blood),,ready,,50862,Albumin,,labevents,146697,Chemistry,,Blood,7/1/1751,,,,
Albumin,Albumin,,ready,,227456,Albumin,None,chartevents,22945,Labs,,,,metavision,,Numeric with tag,
Albumin,Albumin (ascites),,verify,,50835,"Albumin, Ascites",,labevents,1592,Chemistry,,Ascites,1/1/1749,,,,
Albumin,Albumin (other body fluid),,verify,,51025,"Albumin, Body Fluid",,labevents,422,Chemistry,,Other Body Fluid,5/1/1747,,,,
Albumin,Albumin (pleural),,verify,,51046,"Albumin, Pleural",,labevents,1175,Chemistry,,Pleural,3/1/1748,,,,
Albumin,Albumin (urine),,verify,,51069,"Albumin, Urine",,labevents,2381,Chemistry,,Urine,1/1/1754,,,,
Alkaline phosphate,Alkaline phosphate,ALP,verify,,50863,ALKALINE PHOSPHATASE,,labevents,207860,Chemistry,,Blood,6/1/6768,,,,
Alkaline phosphate,Alkaline phosphate,ALP,verify,,225612,Alkaline Phosphate,None,chartevents,36836,Labs,,,,metavision,,Numeric,
Anion gap,Anion gap,,ready,,50868,ANION GAP,,labevents,769895,Chemistry,,Blood,1863-0,,,,
Anion gap,Anion gap,,ready,,227073,Anion gap,None,chartevents,150220,Labs,,,,metavision,,Numeric,
AST,Asparate aminotransferase,AST,verify,,50878,ASPARATE AMINOTRANSFERASE (AST),,labevents,219465,CHEMISTRY,,Blood,8/1/1920,,,,
AST,Asparate aminotransferase,AST,verify,,220587,AST,None,chartevents,37598,Labs,,,,metavision,,Numeric,
Basophils,Basophils,,verify,,51146,BASOPHILS,,labevents,172142,HEMATOLOGY,,BLOOD,704-7,,,,
Basophils,Basophils,,verify,,51442,BASOPHILS,,labevents,137,HEMATOLOGY,,PLEURAL,35070-2,,,,
Basophils,Basophils,,verify,,51112,BASOPHILS,,labevents,82,HEMATOLOGY,,ASCITES,35069-4,,,,
Basophils,Basophils,,verify,,51387,BASOPHILS,,labevents,75,HEMATOLOGY,,OTHER BODY FLUID,28543-7,,,,
Basophils,Basophils,,verify,,51367,BASOPHILS,,labevents,10,HEMATOLOGY,,JOINT FLUID,17833-5,,,,
Bicarbonate,Bicarbonate,HCO3,ready,,50882,BICARBONATE,,labevents,780733,CHEMISTRY,,BLOOD,8/1/1963,,,,
Bicarbonate,Bicarbonate (serum),HCO3 (serum),ready,,227443,HCO3 (serum),None,chartevents,152671,Labs,,,,metavision,,Numeric with tag,
Bicarbonate,Bicarbonate (urine),HCO3 (urine),verify,,51076,"BICARBONATE, URINE",,labevents,1000,CHEMISTRY,,URINE,6/1/1964,,,,
Bicarbonate,Bicarbonate (whole blood),HCO3 (whole blood),ready,,50803,"CALCULATED BICARBONATE, WHOLE BLOOD",,labevents,9246,BLOOD GAS,,BLOOD,6/1/1959,,,,
Bilirubin,"Bilirubin(Total, Body Fluid)",,verify,,51028,"BILIRUBIN, TOTAL, BODY FLUID",,labevents,355,CHEMISTRY,,OTHER BODY FLUID,5/1/1974,,,,
Direct Bilirubin,Bilirubin (blood),Direct bilirubin,ready,,50883,"BILIRUBIN, DIRECT",,labevents,45205,CHEMISTRY,,BLOOD,7/1/1968,,,,
Direct Bilirubin,Bilirubin (conjugated),Direct bilirubin,verify,,225651,Direct Bilirubin,None,chartevents,3341,Labs,,,,metavision,,Numeric,
Bilirubin,"Bilirubin (total, ascites)",,verify,,50838,"BILIRUBIN, TOTAL, ASCITES",,labevents,784,CHEMISTRY,,ASCITES,14422-0,,,,
Bilirubin,"Bilirubin (total, pleural)",,verify,,51049,"BILIRUBIN, TOTAL, PLEURAL",,labevents,84,CHEMISTRY,,PLEURAL,14421-2,,,,
Total Bilirubin,Bilirubin (total),Total bilirubin,ready,,50885,"BILIRUBIN, TOTAL",,labevents,238277,CHEMISTRY,,BLOOD,2/1/1975,,,,
Total Bilirubin,Bilirubin (total),Total bilirubin,ready,,225690,Total Bilirubin,None,chartevents,37961,Labs,,,,metavision,,Numeric,
Bilirubin,Bilirubin (unconjugated),,verify,,50884,"BILIRUBIN, INDIRECT",,labevents,44385,CHEMISTRY,,BLOOD,1/1/1971,,,,
